palavra,freq
responder,9.301135822916663
desta,9.187934000863281
categoria,8.7173206553842
link,8.417194149806758
acessórios,8.110719993375307
seminovos,8.06516060307243
para,8.049463022752912
comentário,7.789342630267885
core,7.754344383486504
jogos,7.754121666170858
josé,7.750200219481432
paraguai,7.7270804348360285
tudo,7.591396953479633
ministério,7.575839265875906
bota,7.55981146899341
chapada,7.484476820016339
bahia,7.4440461136314475
(sp),7.425666794656848
agosto,7.41035044404877
municipal,7.393036083440493
comparar,7.322330133484675
estado,7.238681675073837
joão,7.238681675073837
juros,7.21985871471435
paulo,7.204444299731063
nacional,7.185341197705266
tutoriais,7.166099332653659
produto,7.16169814004799
xbox,7.133630373069471
nova,7.1334773882739215
maria,7.131183075272889
mais,7.128937506573701
festa,7.068743142269386
silva,7.059722065174537
notebook,7.056177181614265
luiz,7.051667367292414
salvar,7.032882940160742
elétrica,7.019867022067637
preto,7.019867022067637
ryzen,7.016699815373022
compras,7.011194711571398
novo,6.979908863231839
consoles,6.979462658182428
pack,6.975157830801684
prefeitura,6.974014428908911
carlos,6.948644805554837
fórum,6.942444568163282
lojas,6.9325765974879765
solar,6.930442810405727
fernando,6.926430640086054
semi,6.918282718119846
costa,6.918156259669955
cachoeira,6.916721261893818
antônio,6.873363069580543
brasil,6.869006637068639
outros,6.858554148923444
câmeras,6.857357720320348
jogo,6.856660459853302
partir,6.845291126713877
protetor,6.84148771524675
controles,6.83313593664413
infantil,6.833109611439196
atrás,6.831473440274274
intelbras,6.826913761001351
loja,6.822826417560848
preço,6.82118536878762
todos,6.809296841581426
filme,6.80703577876778
multilaser,6.806114921391882
playstation,6.8056703053901755
parecidos,6.801062427183114
notícias,6.785364473439059
cabos,6.783583680046115
maranhão,6.77986144930011
área,6.7782396010112915
vila,6.775805209660614
carrinho,6.775021027794461
eduardo,6.774797454513939
gamer,6.7633485822664206
blog,6.751960096738241
kinect,6.7488645693901095
cinza,6.748105390448765
compartilhar,6.745105893134577
francisco,6.74349021087108
nintendo,6.741744849972545
const,6.739114329785642
geek,6.7327519664603965
games,6.731915818690499
lima,6.715944783922338
produtos,6.707371793419023
ótimo,6.693382797457884
infantis,6.691754242835553
copa,6.688838980070443
adrenaline,6.685193210136992
alerta,6.679935183878369
feminino,6.667902362055984
memória,6.662265700887011
game,6.643112158540415
luís,6.636772850684774
cards,6.629523896551055
