palavra,freq
total:,8.16163681960648
a.m.),8.16163681960648
para,8.13347866003008
íntima,8.12351689584452
juros,8.022429054890711
comparar,7.908411632222449
produtos,7.852657317290388
cartão,7.851743800622337
indisponível,7.746278222427264
usuários:,7.744819324100144
avise-me,7.694096173493215
chegar,7.535257291796424
momento,7.52620746665526
estoque,7.493260185002796
anos,7.47866106791535
horas,7.374103445592581
acessórios,7.351258696106
preço,7.350763294880435
avaliação,7.341927116581494
lista,7.331057553311267
produto,7.314790914929904
câncer,7.298684417928266
masculino,7.288942917901919
adicionar,7.271595619925644
coleção,7.233743211101487
infantil,7.2141474028065025
mais,7.168098697674343
casa,7.153848452317472
óculos,7.1302880709304475
meninas,7.115111628556321
quando,7.067962310342107
feminino,7.063110080899008
outubro,7.02447862172384
filho,7.0202576494488005
cabos,6.997298872804156
casamento,6.967093498841011
loja,6.951436278738238
setembro,6.9373413191847515
clique,6.915839492561491
recebe,6.887921337501459
janeiro,6.8814953887267185
editora,6.861768346981396
agosto,6.8292053209579135
polegadas,6.819163220038665
março,6.818267113946523
hospital,6.79826792547916
cama,6.79537472221391
dezembro,6.792709694623631
maio,6.786561830359989
móveis,6.770333879772961
paulo,6.768985133870053
masculinos,6.766004993579627
abril,6.742575018980091
junho,6.735820812807321
pontofrio,6.735494777466417
brasil,6.730934858216022
fevereiro,6.723679601629421
masculina,6.705995810248026
casas,6.688389109285685
notícias,6.687355035043967
outros,6.686394543315425
mulher,6.680602353945013
prazo,6.678142229506628
carlos,6.673027177832531
atendimento,6.665680383015946
julho,6.643977403132984
perfume,6.640386505363095
compre,6.638611931556027
linha,6.629810569052608
será,6.621723739983638
família,6.620322480642248
por:,6.608964842065513
relógio,6.608210757493698
camargo,6.592472002590706
santa,6.591099634919835
após,6.584465715227843
comprar,6.5664451883921995
como,6.564941632479915
ator,6.54802011358908
ganha,6.534415820789086
pela,6.512707228336966
ministério,6.509970968948924
desejos,6.498812144593476
está,6.487016075003655
bahia,6.466626042743161
sobre,6.46060803695861
veja,6.460282223087636
social,6.4600771031449735
moda,6.458526517059322
pedidos,6.455605183812128
bebês,6.45140886938645
novembro,6.436118070378846
saúde,6.428209722251394
contra,6.4185183505964645
nacional,6.417419514846531
televendas,6.402384554875693
seguro,6.393207089950757
ontem,6.389302135287753
entrega,6.3797763672973336
serviços,6.3786349419549175
